Day_of_Month,Affirmation
1,"You are doing enough, even when it doesn't feel like it."
2,"Your feelings are valid, and you deserve to take up space."
3,"Every day is a fresh start. You don't have to carry yesterday with you."
4,"You are allowed to rest before your body forces you to."
5,"Your progress is still progress, even if it's quiet."
6,"You have survived 100% of your bad days. You've got this."
7,"It is okay to not have it all figured out right now."
8,"You bring something completely unique to this world."
9,"Your boundaries are important and deserve to be respected."
10,"You are worthy of the same kindness you give to others."
11,"Growth isn't linear. Be patient with yourself."
12,"You are capable of handling whatever comes your way today."
13,"Your worth is not measured by your productivity."
14,"You don't have to earn the right to feel at peace."
15,"It is okay to let go of things that are no longer serving you."
16,"You are allowed to change your mind and your path."
17,"Your energy is valuable. Protect it."
18,"You are exactly where you need to be to learn what you need to learn."
19,"Small steps are still moving you forward."
20,"You deserve to be celebrated, simply for existing."
21,"It's okay to ask for help. You don't have to do it all alone."
22,"You are more resilient than you realize."
23,"Your voice matters, and your story is important."
24,"You are allowed to say no without an explanation."
25,"Healing takes time. Give yourself grace."
26,"You possess a quiet strength that carries you through."
27,"You deserve good things, and it is safe to receive them."
28,"Your authentic self is your best self."
29,"You are not defined by your past or your mistakes."
30,"You have the power to create a life that feels good to you."
31,"Take a deep breath. You are safe, and you are entirely up to you."
